driverId,week,hours-logged,miles-logged
449,48,50,2600
615,11,73,2400
309,38,72,3800
397,21,51,800
926,29,52,1300
159,17,74,500
510,38,61,2600
611,33,68,600
282,6,72,1700
44,34,58,3000
71,17,53,1500
143,14,57,1500
186,35,74,300
292,26,64,2000
990,51,57,800
373,39,68,2400
11,44,65,3200
540,30,79,0
412,40,54,1400
75,12,72,3100
883,45,70,0
126,8,75,400
588,25,59,600
542,34,75,3600
977,19,52,400
705,34,68,1400
512,36,51,3300
553,23,67,100
552,3,77,1400
739,13,51,300
481,3,52,2000
901,15,57,1200
50,6,56,1800
861,6,61,2200
1004,9,62,300
173,38,56,2500
584,16,76,500
947,34,63,2300
695,25,53,2200
457,4,71,3200
104,7,53,3000
94,24,75,1600
734,16,57,1200
677,7,55,3400
883,30,69,3200
53,31,61,1100
48,35,67,2300
628,10,73,3900
571,26,63,900
725,3,71,4000
463,26,54,0
308,34,64,500
636,51,62,200
199,4,67,1300
597,32,71,2500
954,5,68,1200
488,7,54,3100
846,52,78,1300
474,35,66,3900
677,3,75,100
858,19,54,2200
689,23,78,600
579,10,73,2100
904,20,64,3700
25,34,70,200
706,36,69,1200
888,28,51,2900
846,24,80,4000
342,8,54,3100
911,43,53,200
734,44,72,1100
1004,45,74,600
763,43,80,3400
507,49,69,2600
967,22,56,2600
228,50,59,400
663,19,79,2200
578,11,53,3100
545,5,77,2900
145,34,51,1800
614,7,69,0
909,46,66,100
338,36,53,2500
958,45,70,3100
637,5,69,600
359,26,52,2800
189,42,51,2200
837,40,54,800
838,38,75,4000
73,17,71,2100
447,20,54,1200
578,6,62,1600
621,46,69,0
364,33,58,2200
801,37,73,1700
848,14,59,900
874,39,79,1000
189,41,59,1200
483,5,53,1100
361,26,63,3600
624,26,75,1300
425,45,59,2900
402,32,76,1100
938,21,67,500
394,29,54,300
105,11,56,900
342,18,51,2300
561,15,80,1700
171,47,77,3100
569,29,75,1200
529,6,61,700
325,48,74,1200
10,13,64,1200
963,39,78,1600
844,5,51,400
68,13,54,2300
178,40,62,300
195,37,63,2700
308,15,51,2100
627,3,63,3600
63,52,62,600
1001,12,58,3800
543,50,67,3000
326,3,80,1800
867,46,58,900
678,35,58,2800
662,43,64,1100
981,28,67,2600
101,7,71,1300
800,26,79,3400
837,27,60,2900
174,17,79,200
646,10,78,3000
644,8,68,2200
952,28,79,2500
36,48,72,1500
826,52,76,3800
44,9,77,3600
396,20,61,3200
808,27,71,1000
469,12,54,3900
356,24,54,400
828,19,68,600
889,31,62,1700
586,7,73,200
215,51,63,1600
127,14,54,600
398,38,67,1500
269,11,51,3400
95,5,67,700
695,32,65,3500
946,48,56,1900
569,5,57,2500
274,3,78,3200
302,49,60,3300
1009,7,76,1100
102,28,54,1100
859,39,69,2000
411,22,72,1900
741,1,68,3000
836,34,62,100
944,36,54,2400
18,16,73,3300
144,44,74,2600
206,14,54,3000
136,10,54,1100
178,7,55,1900
400,4,72,1000
404,14,50,200
735,22,53,500
622,19,63,1400
999,29,53,2900
231,10,62,1600
74,30,75,800
860,24,55,3200
761,29,80,2900
842,1,79,1900
996,21,68,3500
225,49,80,100
543,20,75,1600
877,16,64,100
562,31,77,900
71,42,80,3800
351,41,60,700
96,46,69,1200
418,4,61,3400
550,43,76,1700
274,30,73,3700
400,22,76,1300
108,30,72,4000
16,18,60,2100
890,30,74,1800
601,10,71,2400
917,32,72,1100
844,24,51,100
528,15,56,700
66,41,57,500
718,22,63,700
951,50,53,1700
372,8,76,2700
939,48,77,1300
486,31,63,2000
787,18,78,3900
199,50,76,1800
814,25,50,2700
631,27,76,2000
33,17,75,2000
700,26,62,3200
800,32,70,300
663,31,55,1600
31,43,66,1400
466,49,52,1500
495,32,61,100
566,37,52,3800
68,2,59,400
132,48,50,1900
257,39,77,0
30,6,50,0
13,35,65,3400
960,36,73,1900
516,13,58,1100
582,51,76,200
514,37,76,600
960,10,68,3700
134,4,61,200
113,20,59,1100
91,31,70,2600
971,38,61,900
993,46,54,2700
373,11,78,2600
957,39,63,1300
734,37,58,2400
418,19,70,1100
666,47,78,1000
35,17,62,1900
684,33,70,900
774,21,79,1400
144,9,71,200
285,10,61,2700
90,32,76,400
815,3,66,1200
565,12,58,200
642,52,54,0
853,16,70,3600
534,49,54,600
47,18,58,2100
580,5,61,2500
746,9,52,300
341,12,50,3400
360,26,71,3400
977,31,66,1900
53,47,59,3200
431,41,68,2400
242,37,66,2100
248,43,74,4000
572,12,75,3800
338,9,69,2700
186,45,57,200
618,2,62,1100
358,48,69,1500
800,14,56,2000
823,28,53,3700
18,17,70,100
528,40,53,400
931,17,71,1100
183,35,63,0
704,7,58,3000
636,19,58,3100
604,39,58,600
668,25,71,600
503,1,52,2000
442,38,63,900
419,28,58,1700
98,41,76,3500
760,32,66,2300
10,11,80,3400
308,16,76,1900
603,3,58,1900
700,49,53,1600
145,23,77,0
650,34,53,1000
222,39,79,3100
137,32,58,3000
554,46,79,1300
891,8,52,1300
271,2,77,2800
674,45,50,200
885,50,69,3500
237,7,75,3800
776,49,73,2700
999,1,56,1500
239,29,72,800
900,6,68,700
378,18,79,3600
447,47,56,3900
833,44,69,100
825,47,50,1400
201,52,56,2700
970,17,50,2100
405,10,59,2200
539,11,76,200
101,16,53,2400
853,32,77,1400
911,9,64,300
508,26,53,800
203,7,60,400
725,8,71,3200
575,49,68,3100
310,32,63,2200
296,28,51,200
460,13,73,2400
544,8,65,0
431,3,79,3600
476,20,63,2200
591,16,50,2600
386,51,57,3400
222,45,69,400
933,27,53,1600
749,20,74,2000
906,32,52,1600
399,46,55,1700
970,23,54,1500
173,47,69,2900
928,18,51,2700
615,15,54,2200
598,49,63,2000
959,11,59,2400
76,21,66,3000
486,51,61,1500
765,48,73,1200
485,21,61,500
345,11,73,2900
791,15,58,1800
728,12,79,900
783,52,76,3900
551,15,79,400
114,5,63,1300
59,7,63,600
914,8,65,1900
96,30,58,2800
880,19,62,1100
258,20,60,0
338,18,73,2800
384,27,76,100
436,26,63,3100
948,38,71,1600
106,14,63,1300
842,35,71,2400
391,42,71,1200
506,10,54,3200
659,19,76,3300
810,36,58,2200
12,44,79,400
954,12,54,2700
733,17,64,2200
741,20,67,600
545,45,78,2500
485,52,74,1600
390,31,59,400
156,17,56,3400
222,5,67,2600
578,17,50,200
735,29,75,100
36,5,75,1200
910,17,56,0
